id;COLOR;R;G;B;;ARRAY INITIALISER;;CLASS NAME :;FRMC
0;;124;124;124;;FRMC(124,124,124),;;;
1;;0;0;252;;FRMC(0,0,252),;;COPY CODE;"const FRMC color_lookup_table [] PROGMEM ={FRMC(124,124,124),FRMC(0,0,252),FRMC(0,0,188),FRMC(68,40,188),FRMC(148,0,132),FRMC(168,0,32),FRMC(168,16,0),FRMC(136,20,0),FRMC(80,48,0),FRMC(0,120,0),FRMC(0,104,0),FRMC(0,88,0),FRMC(0,64,88),FRMC(0,0,0),FRMC(0,0,0),FRMC(0,0,0),FRMC(188,188,188),FRMC(0,120,248),FRMC(0,88,248),FRMC(104,68,252),FRMC(216,0,204),FRMC(228,0,88),FRMC(248,56,0),FRMC(228,92,16),FRMC(172,124,0),FRMC(0,184,0),FRMC(0,168,0),FRMC(0,168,68),FRMC(0,136,136),FRMC(0,0,0),FRMC(0,0,0),FRMC(0,0,0),FRMC(248,248,248),FRMC(60,188,252),FRMC(104,136,252),FRMC(152,120,248),FRMC(248,120,248),FRMC(248,88,152),FRMC(248,120,88),FRMC(252,160,68),FRMC(248,184,0),FRMC(184,248,24),FRMC(88,216,84),FRMC(88,248,152),FRMC(0,232,216),FRMC(120,120,120),FRMC(0,0,0),FRMC(0,0,0),FRMC(252,252,252),FRMC(164,228,252),FRMC(184,184,248),FRMC(216,184,248),FRMC(248,184,248),FRMC(248,164,192),FRMC(240,208,176),FRMC(252,224,168),FRMC(248,216,120),FRMC(216,248,120),FRMC(184,248,184),FRMC(184,248,216),FRMC(0,252,252),FRMC(248,216,248),FRMC(0,0,0),FRMC(0,0,0)};"
2;;0;0;188;;FRMC(0,0,188),;;;
3;;68;40;188;;FRMC(68,40,188),;;;
4;;148;0;132;;FRMC(148,0,132),;;;
5;;168;0;32;;FRMC(168,0,32),;;;
6;;168;16;0;;FRMC(168,16,0),;;;
7;;136;20;0;;FRMC(136,20,0),;;;
8;;80;48;0;;FRMC(80,48,0),;;;
9;;0;120;0;;FRMC(0,120,0),;;;
10;;0;104;0;;FRMC(0,104,0),;;;
11;;0;88;0;;FRMC(0,88,0),;;;
12;;0;64;88;;FRMC(0,64,88),;;;
13;;0;0;0;;FRMC(0,0,0),;;;
14;;0;0;0;;FRMC(0,0,0),;;;
15;;0;0;0;;FRMC(0,0,0),;;;
16;;188;188;188;;FRMC(188,188,188),;;;
17;;0;120;248;;FRMC(0,120,248),;;;
18;;0;88;248;;FRMC(0,88,248),;;;
19;;104;68;252;;FRMC(104,68,252),;;;
20;;216;0;204;;FRMC(216,0,204),;;;
21;;228;0;88;;FRMC(228,0,88),;;;
22;;248;56;0;;FRMC(248,56,0),;;;
23;;228;92;16;;FRMC(228,92,16),;;;
24;;172;124;0;;FRMC(172,124,0),;;;
25;;0;184;0;;FRMC(0,184,0),;;;
26;;0;168;0;;FRMC(0,168,0),;;;
27;;0;168;68;;FRMC(0,168,68),;;;
28;;0;136;136;;FRMC(0,136,136),;;;
29;;0;0;0;;FRMC(0,0,0),;;;
30;;0;0;0;;FRMC(0,0,0),;;;
31;;0;0;0;;FRMC(0,0,0),;;;
32;;248;248;248;;FRMC(248,248,248),;;;
33;;60;188;252;;FRMC(60,188,252),;;;
34;;104;136;252;;FRMC(104,136,252),;;;
35;;152;120;248;;FRMC(152,120,248),;;;
36;;248;120;248;;FRMC(248,120,248),;;;
37;;248;88;152;;FRMC(248,88,152),;;;
38;;248;120;88;;FRMC(248,120,88),;;;
39;;252;160;68;;FRMC(252,160,68),;;;
40;;248;184;0;;FRMC(248,184,0),;;;
41;;184;248;24;;FRMC(184,248,24),;;;
42;;88;216;84;;FRMC(88,216,84),;;;
43;;88;248;152;;FRMC(88,248,152),;;;
44;;0;232;216;;FRMC(0,232,216),;;;
45;;120;120;120;;FRMC(120,120,120),;;;
46;;0;0;0;;FRMC(0,0,0),;;;
47;;0;0;0;;FRMC(0,0,0),;;;
48;;252;252;252;;FRMC(252,252,252),;;;
49;;164;228;252;;FRMC(164,228,252),;;;
50;;184;184;248;;FRMC(184,184,248),;;;
51;;216;184;248;;FRMC(216,184,248),;;;
52;;248;184;248;;FRMC(248,184,248),;;;
53;;248;164;192;;FRMC(248,164,192),;;;
54;;240;208;176;;FRMC(240,208,176),;;;
55;;252;224;168;;FRMC(252,224,168),;;;
56;;248;216;120;;FRMC(248,216,120),;;;
57;;216;248;120;;FRMC(216,248,120),;;;
58;;184;248;184;;FRMC(184,248,184),;;;
59;;184;248;216;;FRMC(184,248,216),;;;
60;;0;252;252;;FRMC(0,252,252),;;;
61;;248;216;248;;FRMC(248,216,248),;;;
62;;0;0;0;;FRMC(0,0,0),;;;
63;;0;0;0;;FRMC(0,0,0);"<- ADD ; if you expand the table";;
64;;;;;;;;;
65;;;;;;;;;
66;;;;;;;;;
67;;;;;;;;;
68;;;;;;;;;
69;;;;;;;;;
70;;;;;;;;;
71;;;;;;;;;
72;;;;;;;;;
73;;;;;;;;;
74;;;;;;;;;
75;;;;;;;;;
76;;;;;;;;;
77;;;;;;;;;
78;;;;;;;;;
79;;;;;;;;;
80;;;;;;;;;
81;;;;;;;;;
82;;;;;;;;;
83;;;;;;;;;
84;;;;;;;;;
85;;;;;;;;;
86;;;;;;;;;
87;;;;;;;;;
88;;;;;;;;;
89;;;;;;;;;
90;;;;;;;;;
91;;;;;;;;;
92;;;;;;;;;
93;;;;;;;;;
94;;;;;;;;;
95;;;;;;;;;
96;;;;;;;;;
97;;;;;;;;;
98;;;;;;;;;
99;;;;;;;;;
100;;;;;;;;;
101;;;;;;;;;
102;;;;;;;;;
103;;;;;;;;;
104;;;;;;;;;
105;;;;;;;;;
106;;;;;;;;;
107;;;;;;;;;
108;;;;;;;;;
109;;;;;;;;;
110;;;;;;;;;
111;;;;;;;;;
112;;;;;;;;;
113;;;;;;;;;
114;;;;;;;;;
115;;;;;;;;;
116;;;;;;;;;
117;;;;;;;;;
118;;;;;;;;;
119;;;;;;;;;
120;;;;;;;;;
121;;;;;;;;;
122;;;;;;;;;
123;;;;;;;;;
124;;;;;;;;;
125;;;;;;;;;
126;;;;;;;;;
127;;;;;;;;;
